Date,Open,High,Low,Close*,Adj Close**,Volume
30/12/2022,238.21,239.96,236.66,239.82,239.82,"21,930,800"
29/12/2022,235.65,241.92,235.65,241.01,241.01,"19,770,700"
28/12/2022,236.89,239.72,234.17,234.53,234.53,"17,457,100"
27/12/2022,238.70,238.93,235.83,236.96,236.96,"16,688,600"
23/12/2022,236.11,238.87,233.94,238.73,238.73,"21,207,000"
22/12/2022,241.26,241.99,233.87,238.19,238.19,"28,651,700"
21/12/2022,241.69,245.62,240.11,244.43,244.43,"23,690,600"
20/12/2022,239.40,242.91,238.42,241.80,241.80,"25,150,800"
19/12/2022,244.86,245.21,238.71,240.45,240.45,"29,696,400"
16/12/2022,248.55,249.84,243.51,244.69,244.69,"86,102,000"
15/12/2022,253.72,254.20,247.34,249.01,249.01,"35,560,400"
14/12/2022,257.13,262.59,254.31,257.22,257.22,"35,410,900"
13/12/2022,261.69,263.92,253.07,256.92,256.92,"42,196,900"
12/12/2022,247.45,252.54,247.17,252.51,252.51,"30,665,100"
09/12/2022,244.70,248.31,244.16,245.42,245.42,"20,609,700"
08/12/2022,244.84,248.74,243.06,247.40,247.40,"22,611,800"
07/12/2022,244.83,246.16,242.21,244.37,244.37,"20,481,500"
06/12/2022,250.82,251.86,243.78,245.12,245.12,"22,463,700"
05/12/2022,252.01,253.82,248.06,250.20,250.20,"23,435,300"
02/12/2022,249.82,256.06,249.69,255.02,255.02,"21,528,500"
01/12/2022,253.87,256.12,250.92,254.69,254.69,"26,041,500"
30/11/2022,240.57,255.33,239.86,255.14,255.14,"47,594,200"
29/11/2022,241.40,242.79,238.21,240.33,240.33,"17,956,300"
28/11/2022,246.08,246.65,240.80,241.76,241.76,"24,778,200"
25/11/2022,247.31,248.70,246.73,247.49,247.49,"9,200,800"
23/11/2022,245.11,248.28,244.27,247.58,247.58,"19,508,500"
22/11/2022,243.59,245.31,240.71,245.03,245.03,"19,665,700"
21/11/2022,241.43,244.67,241.19,242.05,242.05,"26,394,700"
18/11/2022,243.51,243.74,239.03,241.22,241.22,"27,613,500"
17/11/2022,237.78,243.25,237.63,241.68,241.68,"23,123,500"
16/11/2022,242.79,243.80,240.42,241.73,241.73,"24,093,300"
16/11/2022,0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend,0.68 Dividend
15/11/2022,245.66,247.00,240.03,241.97,241.29,"31,390,100"
14/11/2022,241.99,243.91,239.21,241.55,240.87,"31,123,300"
11/11/2022,242.99,247.99,241.93,247.11,246.42,"34,620,200"
10/11/2022,235.43,243.33,235.00,242.98,242.30,"46,268,000"
09/11/2022,227.37,228.63,224.33,224.51,223.88,"27,852,900"
08/11/2022,228.70,231.65,225.84,228.87,228.23,"28,192,500"
07/11/2022,221.99,228.41,221.28,227.87,227.23,"33,498,000"
04/11/2022,217.55,221.59,213.43,221.39,220.77,"36,789,100"
03/11/2022,220.09,220.41,213.98,214.25,213.65,"36,633,900"
02/11/2022,229.46,231.30,220.04,220.10,219.48,"38,407,000"
